corpus: preloaded/ententen20_tt31_1
subcorpus: English Wikipedia
size: 1082464
query: Query:[lempos_lc="(create)-v"], GDEX:1000
Reference,Sentence
wikipedia.org | <s> It was created in 1954, combining four smaller districts. </s> 
wikipedia.org | <s> Many straight new roads were created at the same time. </s> 
wikipedia.org | <s> He specializes in magic creating fire, light and heat. </s> 
wikipedia.org | <s> Together these create a strong and lightweight platform. </s> 
wikipedia.org | <s> Players will also be permitted to create their own house rules. </s> 
wikipedia.org | <s> A tribute page has been created . </s> 
wikipedia.org | <s> The sculpture was created by Thomas Nicholls. </s> 
wikipedia.org | <s> Modern marine aquariums try to create natural environments. </s> 
wikipedia.org | <s> Several rock shelters or caves were created during this period. </s> 
wikipedia.org | <s> The church was created on that one simple anti-Semitic principle. </s> 
wikipedia.org | <s> The character was created by artist George Peed in 1976. </s> 
wikipedia.org | <s> New loyalties are made and tested, alliances created and lost. </s> 
wikipedia.org | <s> A musical instrument is a device created or adapted to make musical sounds. </s> 
wikipedia.org | <s> Such projects created a ghettoized underclass in America. </s> 
wikipedia.org | <s> Only programs running in kernel mode can create an SRB. </s> 
wikipedia.org | <s> On 22 May 1611 he was created Baronet. </s> 
wikipedia.org | <s> The force created by this expansion is what creates an engine's power. </s> 
wikipedia.org | <s> He created many of the examples (Winter 1999:214). </s> 
wikipedia.org | <s> Social software environments create spaces for communal authorship. </s> 
wikipedia.org | <s> Such marketing practice may create advertising efficiencies through the reduced costs of brand development. </s> 
wikipedia.org | <s> The seat was created under the Redistribution of Seats Act 1885. </s> 
wikipedia.org | <s> The fifteen ordinary regions, created in 1970, elected their third assemblies. </s> 
wikipedia.org | <s> Ben Holiday is a fictional character created by Terry Brooks. </s> 
wikipedia.org | <s> First created on February 12, 1909 in Springfield, Illinois. </s> 
wikipedia.org | <s> On 17 August 1611 he was created cardinal and recalled from Madrid. </s> 
wikipedia.org | <s> Arayashiki is the federation that the Eastern spell casters created . </s> 
wikipedia.org | <s> His father was subsequently created Marquess of Milford Haven. </s> 
wikipedia.org | <s> In 2013, a Confederation of Angolans in France was created . </s> 
wikipedia.org | <s> It was created on 17 July 1622 for Edmund Prideaux. </s> 
wikipedia.org | <s> This creates a slight random phase jitter when the device is pulsed. </s> 
wikipedia.org | <s> Charles Preston created Quote-Acrostics for The Washington Post. </s> 
wikipedia.org | <s> The list was created and maintained by journalist and statistician Konstantin Yesenin. </s> 
wikipedia.org | <s> President Theodore Roosevelt created the Siskiyou National Forest in 1906. </s> 
wikipedia.org | <s> REDBLACKS create buzz with new uniforms". </s> 
wikipedia.org | <s> The KV-13 was an experimental Soviet medium tank created during World War II. </s> 
wikipedia.org | <s> By 1998, UNC Charlotte created an automotive and motorsports engineering program. </s> 
wikipedia.org | <s> It was created in 1917 and comprises three separately accredited universities on 19 campuses. </s> 
wikipedia.org | <s> Isamu Noguchi later redesigned the set and created a new mask. </s> 
wikipedia.org | <s> This system was created for weather forecast and statistics and was used for 15 years. </s> 
wikipedia.org | <s> She gained recognition for creating and directing the 2017 horror web series La Quinceañera. </s> 
wikipedia.org | <s> The Pripyat nature reserve was created in 1969 and Palessya nature reserve in 1988. </s> 
wikipedia.org | <s> Wodehouse makes use of various stylistic devices in his stories to create humour. </s> 
wikipedia.org | <s> In total TSSG has created 15 start-ups since its inception and 12 since 2006. </s> 
wikipedia.org | <s> Bloomberg supported the Iraq War and opposed creating a timeline for withdrawing troops. </s> 
wikipedia.org | <s> The map is believed to be the first ever commissioned or created of Rensselaerswyck. </s> 
wikipedia.org | <s> These centers created village level digital entrepreneurs, nearly 63,000 of those were women entrepreneurs. </s> 
wikipedia.org | <s> Mezcal is bottled straight or combined with flavorings to create cream style liquors. </s> 
wikipedia.org | <s> In response, the British created a nuclear weapons project officially named Tube Alloys. </s> 
wikipedia.org | <s> The USDA has also created a language to describe various severities of food insecurity. </s> 
wikipedia.org | <s> Tami prepares by creating a makeshift shelter. </s> 
wikipedia.org | <s> He also created series of landscapes and interiors, flower pieces and skulls. </s> 
wikipedia.org | <s> Jan Griffier and his children, Jan and Robert, created the landscape. </s> 
wikipedia.org | <s> The Circle studio was created in the round and now seats a maximum of 100. </s> 
wikipedia.org | <s> The additions to the house which created its present form probably occurred during this time. </s> 
wikipedia.org | <s> However, Nozaki has trouble creating a new script after meeting Kashima in person. </s> 
wikipedia.org | <s> The show was created by Jason and Leisa Barry-Smith and Narelle French. </s> 
wikipedia.org | <s> Flake tools could be sharpened by retouch to create scrapers or burins. </s> 
wikipedia.org | <s> In 2018, Toledo supported a bill that created a new class of charter schools. </s> 
wikipedia.org | <s> In 2005 together with Stephane Cabrera Iskenderov has created an online magazine Fightmag. </s> 
wikipedia.org | <s> Each watercolour in the collection was created by a different elected member of the Society. </s> 
wikipedia.org | <s> These development-focused organizations focus on creating economic opportunities, women's empowerment and education and training. </s> 
wikipedia.org | <s> This is a cushion of conidiophores created from a pseudoparenchymatous stroma in plant tissue. </s> 
wikipedia.org | <s> Starting in 2008, TinyURL allowed users to create custom, more meaningful aliases. </s> 
wikipedia.org | <s> They are given a budget of $300 and two days to create this look. </s> 
wikipedia.org | <s> Buxa Tiger Reserve was created in 1983 as the 15th tiger reserve in India. </s> 
wikipedia.org | <s> Even before it was built, the ''Cocoon House'' created a sensation. </s> 
wikipedia.org | <s> A coat of arms in the European heraldic sense was created in the late 19th century. </s> 
wikipedia.org | <s> In September 2007, attempts to create the first secular school in Britain were blocked. </s> 
wikipedia.org | <s> The design of the building not only made it distinct, but created high energy-efficiency. </s> 
wikipedia.org | <s> It was created at the French canton reorganisation which came into effect in March 2015. </s> 
wikipedia.org | <s> These artist development programs give artists funds for creating , in addition to space for artworks. </s> 
wikipedia.org | <s> He says comedy creates a positive feeling in prospective customers when used in business-to-business content marketing. </s> 
wikipedia.org | <s> There are certain things placed throughout the painting that create a sense of wonder or confusion. </s> 
wikipedia.org | <s> There is also some art and woodwork created by school students in the early 20th century. </s> 
wikipedia.org | <s> Later Rachel Antonoff attributed this experience with influencing the way in which she creates . </s> 
wikipedia.org | <s> Kevin Patterson is a character created and played by the British comedian Harry Enfield. </s> 
wikipedia.org | <s> Created by Emilio Aguinaldo as division of military health on June 23, 1898. </s> 
wikipedia.org | <s> They created a new SQL interface, while keeping the same API as mSQL. </s> 
wikipedia.org | <s> An act creating the Université du Québec was passed by the provincial legislative assembly in 1968. </s> 
wikipedia.org | <s> The effect created by the arrangement of the stripes is meant to represent Yukon's many mountains. </s> 
wikipedia.org | <s> However, when formation of states were announced on 1.11.1956, Vidarbha was not created . </s> 
wikipedia.org | <s> This association created considerable doubt about their ability to credibly portray themselves as parties of change. </s> 
wikipedia.org | <s> This wait creates small, but potentially serious delays if repeated constantly during a file transfer. </s> 
wikipedia.org | <s> Zikaras also created a great number of bas-reliefs and busts depicting various famous Lithuanians. </s> 
wikipedia.org | <s> It was a new seat created as a result of the one vote one value reforms. </s> 
wikipedia.org | <s> Many criminals in the city are created because of this, including his own Deputy mayor. </s> 
wikipedia.org | <s> Musically, the group fuses worship, roots and dancehall to create their own signature sound. </s> 
wikipedia.org | <s> Together they created the basic Swan movement motifs and Cooper also contributed to the choreography. </s> 
wikipedia.org | <s> In 1992, Grassley authored EPACT 1992, which created the federal wind energy tax credit. </s> 
